Intensity Vs Time, Counts per Second
Time in Seconds ,Cu63

1.482,0
1.483,1000.030000
1.484,0
1.485,0
1.487,0
1.488,0
1.489,1000.030000
1.49,0
1.491,0
1.493,0
1.494,0
1.495,0
1.496,0
1.497,1000.030000
1.499,0
1.5,1000.030000
1.501,0
1.502,0
1.503,1000.030000
1.505,0
1.506,0
1.507,0
1.508,0
1.509,0
1.511,0
1.512,1000.030000
1.513,0
1.514,0
1.515,0
1.517,0
1.518,0
1.519,1000.030000
1.52,0
1.521,0
1.523,0
1.524,0
1.525,0
1.526,0
1.527,0
1.529,0
1.53,0
1.531,0
1.532,0
1.533,0
1.535,0
1.536,0
1.537,0
1.538,0
1.539,0
1.541,1000.030000
1.542,1000.030000
1.543,0
1.544,0
1.545,0
1.547,1000.030000
1.548,0
1.549,0
1.55,0
1.551,0
1.553,0
1.554,0
1.555,0
1.556,0
1.557,0
1.559,0
1.56,0
1.561,0
1.562,0
1.563,0
1.565,0
1.566,0
1.567,0
1.568,0
1.569,0
1.571,1000.030000
1.572,1000.030000
1.573,0
1.574,0
1.575,0
1.577,0
1.578,0
1.579,0
1.58,0
1.581,0
1.583,0
1.584,0
1.585,0
1.586,0
1.587,0
1.589,0
1.59,0
1.591,0
1.592,0
1.593,0
1.595,0
1.596,0
1.597,0
1.598,0
1.599,0
1.601,0
1.602,0
1.603,0
1.604,0
1.605,0
1.607,0
1.608,0
1.609,1000.030000
1.61,0
1.611,0
1.613,0
1.614,0
1.615,0
1.616,1000.030000
1.617,0
1.619,0
1.62,0
1.621,0
1.622,1000.030000
1.623,0
1.625,0
1.626,0
1.627,0
1.628,1000.030000
1.629,0
1.631,0
1.632,1000.030000
1.633,0
1.634,1000.030000
1.635,0
1.637,0
1.638,0
1.639,0
1.64,0
1.641,0
1.643,0
1.644,0
1.645,0
1.646,0
1.647,1000.030000
1.649,0
1.65,0
1.651,0
1.652,1000.030000
1.653,0
1.655,1000.030000
1.656,0
1.657,0
1.658,0
1.659,0
1.661,0
1.662,0
1.663,0
1.664,0
1.665,0
1.667,0
1.668,0
1.669,0
1.67,0
1.671,0
1.673,0
1.674,0
1.675,1000.030000
1.676,0
1.677,0
1.679,1000.030000
1.68,0
1.681,0
1.682,0
1.684,1000.030000
1.685,0
1.686,0
1.687,0
1.688,1000.030000
1.69,0
1.691,0
1.692,1000.030000
1.693,0
1.694,0
1.696,1000.030000
1.697,0
1.698,0
1.699,0
1.7,0
1.702,1000.030000
1.703,1000.030000
1.704,0
1.705,0
1.706,0
1.708,0
1.709,0
1.71,1000.030000
1.711,0
1.712,0
1.714,0
1.715,0
1.716,0
1.717,0
1.718,0
1.72,0
1.721,1000.030000
1.722,0
1.723,0
1.724,0
1.726,0
1.727,0
1.728,0
1.729,0
1.73,0
1.732,0
1.733,0
1.734,0
1.735,0
1.736,0
1.738,0
1.739,0
1.74,0
1.741,0
1.742,0
1.744,0
1.745,0
1.746,0
1.747,0
1.748,0
1.75,0
1.751,1000.030000
1.752,0
1.753,0
1.754,0
1.756,0
1.757,0
1.758,0
1.759,0
1.76,0
1.762,0
1.763,0
1.764,0
1.765,0
1.766,2000.120007200
1.768,0
1.769,0
1.77,1000.030000
1.771,0
1.772,0
1.774,1000.030000
1.775,0
1.776,0
1.777,0
1.778,0
1.78,0
1.781,0
1.782,0
1.783,0
1.784,0
1.786,0
1.787,0
1.788,1000.030000
1.789,0
1.79,0
1.792,0
1.793,0
1.794,0
1.795,0
1.796,0
1.798,0
1.799,1000.030000
1.8,0
1.801,1000.030000
1.802,0
1.804,0
1.805,0
1.806,0
1.807,0
1.808,1000.030000
1.81,0
1.811,0
1.812,0
1.813,0
1.814,0
1.816,0
1.817,0
1.818,0
1.819,0
1.82,0
1.822,0
1.823,1000.030000
1.824,0
1.825,0
1.826,0
1.828,0
1.829,1000.030000
1.83,0
1.831,0
1.832,0
1.834,0
1.835,0
1.836,0
1.837,0
1.838,0
1.84,0
1.841,0
1.842,0
1.843,0
1.844,0
1.846,0
1.847,0
1.848,0
1.849,0
1.85,1000.030000
1.852,0
1.853,0
1.854,0
1.855,1000.030000
1.856,0
1.858,0
1.859,0
1.86,0
1.861,0
1.862,0
1.864,0
1.865,0
1.866,0
1.867,0
1.868,0
1.87,0
1.871,0
1.872,0
1.873,0
1.874,0
1.876,0
1.877,0
1.878,0
1.879,0
1.88,0
1.882,0
1.883,0
1.884,0
1.885,0
1.886,0
1.888,0
1.889,0
1.89,0
1.891,0
1.892,0
1.894,0
1.895,0
1.896,0
1.897,1000.030000
1.898,0
1.9,0
1.901,0
1.902,0
1.903,0
1.904,0
1.906,0
1.907,0
1.908,0
1.909,1000.030000
1.91,0
1.912,0
1.913,0
1.914,0
1.915,0
1.916,0
1.918,0
1.919,0
1.92,0
1.921,0
1.922,0
1.924,0
1.925,0
1.926,0
1.927,0
1.929,0
1.93,0
1.931,0
1.932,0
1.933,0
1.935,0
1.936,0
1.937,0
1.938,0
1.939,0
1.941,0
1.942,0
1.943,0
1.944,0
1.945,0
1.947,0
1.948,0
1.949,0
1.95,0
1.951,0
1.953,0
1.954,0
1.955,0
1.956,0
1.957,0
1.959,0
1.96,0
1.961,0
1.962,1000.030000
1.963,0
1.965,0
1.966,0
1.967,0
1.968,0
1.969,0
1.971,0
1.972,0
1.973,0
1.974,0
1.975,0
1.977,0
1.978,0
1.979,0
1.98,0
1.981,0
1.983,1000.030000
1.984,0
1.985,0
1.986,0
1.987,0
1.989,0
1.99,1000.030000
1.991,1000.030000
1.992,0
1.993,0
1.995,0
1.996,1000.030000
1.997,0
1.998,0
1.999,0
2.001,0
2.002,0
2.003,0
2.004,0
2.005,0
2.007,0
2.008,1000.030000
2.009,0
2.01,0
2.011,0
2.013,0
2.014,0
2.015,0
2.016,0
2.017,0
2.019,0
2.02,0
2.021,0
2.022,2000.120007200
2.023,0
2.025,0
2.026,0
2.027,0
2.028,0
2.029,0
2.031,0
2.032,0
2.033,0
2.034,0
2.035,0
2.037,0
2.038,0
2.039,0
2.04,1000.030000
2.041,0
2.043,0
2.044,0
2.045,0
2.046,0
2.047,0
2.049,0
2.05,0
2.051,0
2.052,1000.030000
2.053,0
2.055,0
2.056,0
2.057,0
2.058,0
2.059,0
2.061,0
2.062,0
2.063,0
2.064,0
2.065,0
2.067,0
2.068,0
2.069,0
2.07,0
2.071,0
2.073,0
2.074,0
2.075,0
2.076,0
2.077,0
2.079,1000.030000
2.08,0
2.081,1000.030000
2.082,0
2.083,1000.030000
2.085,0
2.086,0
2.087,0
2.088,0
2.089,0
2.091,0
2.092,1000.030000
2.093,0
2.094,0
2.095,0
2.097,0
2.098,0
2.099,0
2.1,0
2.101,0
2.103,1000.030000
2.104,0
2.105,0
2.106,0
2.107,0
2.109,1000.030000
2.11,0
2.111,0
2.112,0
2.113,0
2.115,0
2.116,0
2.117,0
2.118,1000.030000
2.119,0
2.121,0
2.122,0
2.123,0
2.124,0
2.125,0
2.127,0
2.128,0
2.129,0
2.13,0
2.131,0
2.133,0
2.134,0
2.135,0
2.136,0
2.137,0
2.139,0
2.14,0
2.141,0
2.142,0
2.143,0
2.145,0
2.146,1000.030000
2.147,0
2.148,0
2.149,0
2.151,0
2.152,0
2.153,0
2.154,0
2.155,0
2.157,0
2.158,0
2.159,0
2.16,0
2.161,0
2.163,1000.030000
2.164,0
2.165,0
2.166,0
2.168,0
2.169,0
2.17,0
2.171,0
2.172,0
2.174,0
2.175,0
2.176,0
2.177,0
2.178,1000.030000
2.18,0
2.181,0
2.182,0
2.183,0
2.184,0
2.186,0
2.187,0
2.188,0
2.189,0
2.19,3000.270024302
2.192,0
2.193,0
2.194,0
2.195,0
2.196,1000.030000
2.198,0
2.199,0
2.2,0
2.201,0
2.202,0
2.204,0
2.205,0
2.206,0
2.207,0
2.208,0
2.21,0
2.211,0
2.212,0
2.213,1000.030000
2.214,0
2.216,0
2.217,0
2.218,0
2.219,0
2.22,0
2.222,0
2.223,0
2.224,0
2.225,0
2.226,0
2.228,0
2.229,0
2.23,0
2.231,0
2.232,0
2.234,0
2.235,0
2.236,0
2.237,0
2.238,0
2.24,0
2.241,0
2.242,0
2.243,0
2.244,0
2.246,0
2.247,0
2.248,0
2.249,1000.030000
2.25,0
2.252,1000.030000
2.253,0
2.254,0
2.255,1000.030000
2.256,0
2.258,0
2.259,0
2.26,0
2.261,0
2.262,0
2.264,0
2.265,0
2.266,0
2.267,0
2.268,0
2.27,0
2.271,0
2.272,0
2.273,0
2.274,0
2.276,0
2.277,0
2.278,0
2.279,0
2.28,2000.120007200
2.282,0
2.283,0
2.284,0
2.285,0
2.286,0
2.288,0
2.289,0
2.29,0
2.291,0
2.292,0
2.294,0
2.295,0
2.296,0
2.297,0
2.298,0
2.3,0
2.301,0
2.302,0
2.303,0
2.304,1000.030000
2.306,0
2.307,1000.030000
2.308,0
2.309,1000.030000
2.31,0
2.312,0
2.313,0
2.314,0
2.315,0
2.316,0
2.318,0
2.319,0
2.32,0
2.321,1000.030000
2.322,0
2.324,0
2.325,0
2.326,0
2.327,0
2.328,0
2.33,0
2.331,0
2.332,0
2.333,0
2.334,0
2.336,0
2.337,0
2.338,0
2.339,0
2.34,0
2.342,0
2.343,0
2.344,0
2.345,0
2.346,0
2.348,0
2.349,0
2.35,0
2.351,2000.120007200
2.352,0
2.354,0
2.355,0
2.356,0
2.357,0
2.358,0
2.36,0
2.361,0
2.362,0
2.363,0
2.364,0
2.366,1000.030000
2.367,0
2.368,0
2.369,0
2.37,0
2.372,0
2.373,1000.030000
2.374,0
2.375,0
2.376,0
2.378,0
2.379,0
2.38,0
2.381,0
2.382,0
2.384,0
2.385,0
2.386,0
2.387,0
2.388,1000.030000
2.39,0
2.391,0
2.392,0
2.393,0
2.394,0
2.396,0
2.397,0
2.398,0
2.399,1000.030000
2.4,0
2.402,0
2.403,1000.030000
2.404,0
2.405,0
2.407,0
2.408,0
2.409,0
2.41,0
2.411,0
2.413,0
2.414,0
2.415,0
2.416,0
2.417,0
2.419,0
2.42,0
2.421,1000.030000
2.422,0
2.423,0
2.425,0
2.426,0
2.427,0
2.428,0
2.429,0
2.431,0
2.432,0
2.433,0
2.434,0
2.435,0
2.437,0
2.438,0
2.439,0
2.44,0
2.441,1000.030000
2.443,1000.030000
2.444,0
2.445,0
2.446,0
2.447,0
2.449,0
2.45,0
2.451,0
2.452,0
2.453,0
2.455,0
2.456,0
2.457,0
2.458,0
2.459,0
2.461,0
2.462,1000.030000
2.463,0
2.464,0
2.465,0
2.467,0
2.468,0
2.469,0
2.47,0
2.471,0
2.473,1000.030000
2.474,0
2.475,0
2.476,0
2.477,0
2.479,1000.030000
2.48,1000.030000
2.481,0
2.482,0
2.483,0
2.485,1000.030000
2.486,0
2.487,0
2.488,0
2.489,0
2.491,0
2.492,0
2.493,0
2.494,0
2.495,0
2.497,0
2.498,0
2.499,1000.030000
2.5,0
2.501,0
2.503,0
2.504,0
2.505,0
2.506,0
2.507,0
2.509,0
2.51,0
2.511,0
2.512,0
2.513,0
2.515,0
2.516,0
2.517,0
2.518,0
2.519,0
2.521,0
2.522,0
2.523,0
2.524,0
2.525,0
2.527,1000.030000
2.528,0
2.529,1000.030000
2.53,0
2.531,0
2.533,1000.030000
2.534,1000.030000
2.535,0
2.536,0
2.537,0
2.539,0
2.54,0
2.541,0
2.542,0
2.543,1000.030000
2.545,0
2.546,1000.030000
2.547,0
